ID,Feed,Sentiment
376,????? ?? ??? ?? ??? ??? ????,Positive
377,????? ??? ????? ???? ???? ???? ?????? ?????? ??? ?????,Positive
378,????? ??? ???? ???? ??? ????? ??? ?????? ????? ???? ??? ??????,Negative
379,????? ??? ???? ?? ?? ?????? ??????,Positive
380,????? ??? ???? ?? ?? ???? ?????? ????,Positive
381,????? ??? ???? ???????? ?????? ?? ??????,Positive
382,????? ???? ?? ???? ?? ?? ??? ?? ????,Positive
383,????? ???? ?? ?????? ???? ?????,Positive
384,????? ??? ?????? ?????,Positive
385,????? ???? ??????? ???? ????????,Positive
386,????? ??? ??? ??? ????? ???? ???,Positive
387,????? ??? ????? ???? ?? ?? ???? ???? ???????? ????? ?????? ??? ????? ??? ???? ????? ???????,Positive
388,????? ??? ????? ????? ????? ??? ??????,Positive
389,????? ??? ????? ???? ?? ???? ??????,Positive
390,????? ??? ????? ????,Positive
391,????? ??? ????? ??? ??????? ? ??? ???????? ? ?? ???????? ? ?? ???? ?? ? ?????? ? ???? ???,Positive
392,????? ??? ??????? ?? ?? ?????? ???????? ????? ????,Positive
393,????? ??? ???? ?? ?? ?????? ???? ???? ????? ????? ?????? ????? ???? ????? ?????,Positive
394,????? ????? ??? ?????? ????????,Positive
395,????? ????? ?? ?????,Positive
396,????? ????? ????? ????????,Positive
397,????? ????? ???? ???? ?????? ???? ?????,Positive
398,????? ????? ??? ??? ?????? ???? ???,Positive
399,????? ????? ??? ?? ??? ????,Positive
400,????? ????? ??? ????? ?? ???? ????? ?????,Positive
401,????? ?? ????? ??? ?????? ??????,Positive
402,????? ??? ?????? ??? ???????,Positive
403,????? ????? ?????? ?????? ?? ?????? ?????? ??? ??????,Positive
404,????? ????? ??? ???? ????? ?? ?????,Positive
405,????? ????? ????? ??? ???? ?????? ???? ????,Positive
406,????? ???? ??? ??? ??????? ????? ?? ???? ?????? ??? ???? ??? ????,Positive
407,????? ????? ??? ??????? ????? ????? ?? ?????? ???? ??? ?? ????? ??? ?????? ?? ???? ????????,Positive
408,????? ????? ????? ???????,Positive
409,????? ??? ???????? ????? ????,Positive
410,????? ???? ?????? ????? ?????? ??????? ????? ????? ?????? ????,Positive
411,????? ???? ???? ?????,Positive
412,????? ??? ?? ????,Positive
413,????? ??? ???? ????? ?????? ?????,Positive
414,????? ???? ??????? ????? ????? ????? ????,Positive
415,????? ???? ??? ?????? ???????,Positive
416,????? ??? ???? ?????? ???? ?????????,Positive
417,????? ?? ?? ??????? ?? ?????,Positive
418,????? ?? ?????? ??? ???? ?????? ??? ??? ????????,Positive
419,????? ?? ???? ??? ?????? ?????? ??? ???? ?? ???? ??? ?? ???? ??????,Positive
420,????? ?? ?????? ?? ?????????,Positive
421,????? ?? ???? ??? ?? ??? ??????,Positive
422,????? ?? ??? ?? ???? ??? ????? ????? ???? ?? ????,Positive
423,????? ?? ????? ??? ?????? ???? ???,Positive
424,????? ?? ????? ??? ????? ?????? ??????,Negative
425,????? ?? ??? ???? ????????,Positive
426,????? ?? ???? ?? ?? ???? ?? ???? ?? ???? ???? ???? ?? ???? ??? ????? ?? ?????,Positive
427,????? ?? ???? ??? ??????,Positive
428,????? ???? ??? ????? ????? ???? ???????,Positive
429,????? ????? ??????? ?? ??? ??? ??????,Positive
430,????? ??? ?????? ?????? ?? ?? ???????? ??? ????,Positive
431,"????? ??? ??? ?????? ??? ????? ?????????? ?? ?? ???? ?????? ????? ???? ??????? ??? ?? ????? ?? ???? ??",Negative
432,????? ????? ??? ??? ???? ?? ??,Positive
433,????? ?? ???? ?? ???? ???? ??? ????? ?????? ??????? ??? ????? ????? ????  ???????? ????????? ???? ?? ?? ?? ?????,Positive
434,????? ?? ???? ??????? ??? ???? ?? ???? ???,Positive
435,???? ??? ????? ?????? ??????? ?? ?? ????????,Negative
436,???? ???? ???? ????? ???? ????? ??????? ???????? ?????? ???? ????? ??? ?????,Negative
437,???? ??? ??????? ????? ???? ?????,Negative
438,????? ???? ??????,Positive
439,????? ?????? ????? ??? ????? ?????????,Negative
440,?????? ???? ?????? ????? ????? ??? ?????? ????? ???????? ???????? ???????? ??? ???? ?????,Negative
441,?????? ???? ???? ??? ????? ????,Negative
442,????????? ???? ???? ??????,Negative
443,?????? ????? ????? ????? ??? ???? ???? ?? ???? ????? ???? ???? ?? ??? ?? ???? ?? ?? ????? ???,Positive
444,????????? ???? ????? ??? ???? ?????? ??? ???????? ????,Negative
445,??????? ?? ??? ???? ????? ??? ???? ???? ?? ????? ????????,Negative
446,??????? ??? ????? ????? ??????? ??? ??????,Negative
447,?????? ??????? ??????? ?? ???,Negative
448,?????? ???? ??? ??? ????? ??? ??? ?????? ???? ????? ?????? ???????,Negative
449,????? ???? ???? ??????? ????? ??????? ???? ?? ???????,Positive
450,??????? ???????? ???? ?????? ??? ????? ????? ???? ????? ?? ?????????,Negative
451,????? ?????? ?? ?????? ??? ???? ????? ??????,Positive
452,????? ?? ?????? ??? ?????? ??,Positive
453,???????? ??????? ??? ?????? ??? ??????,Positive
454,??????? ?? ??? ????? ??????? ?? ??? ???? ??????? ???? ?? ??????? ??? ??? ???? ?? ??? ??? ??????? ????? ?????? ???? ????? ??? ???? ??? ???????,Negative
455,??????? ??? ????? ??????? ???? ??? ???? ?????,Positive
456,??????? ?? ???????,Positive
457,?????? ???????? ????? ???? ???? ????? ?? ??? ????? ??? ?? ????? ?????? ??? ????? ????? ???? ???? ?????? ???? ????? ? ???? ???? ????? ??????,Negative
458,????? ????? ????? ?????? ????? ??????,Positive
459,?????? ???? ??? ???,Negative
460,?????? ???? ???????? ??? ????,Negative
461,?????? ???? ?? ???? ???? ???? ?????,Positive
462,?????? ?? ??? ???? ?? ????,Positive
463,??? ??? ???? ????? ?? ??? ????,Negative
464,??? ?????? ????? ????? ????? ?????? ?? ??? ?????? ???????,Negative
465,??? ???? ???? ??????,Negative
466,??? ????? ???? ???? ???? ???? ?????,Negative
467,??? ????? ????,Negative
468,??? ??? ????? ??? ??????? ??? ????? ?? ?????? ??? ???? ??? ????? ???? ?? ???? ???? ?????,Negative
469,"???? ?? ??? ???? ?? ????? ?????? ???? ???? ????? ?????? ?????",Positive
470,?????? ??? ??? ??????? ???? ?? ??? ??? ???? ???? ??????... ?????? ????? ??? ?????? ???? ??????,Positive
471,??? ????? ???? ???? ???? ????,Negative
472,??? ?? ????? ????? ???? ?? ???? ??? ???? ???????? ????????? ????? ?????? ?? ?? ?? ???? ???,Positive
473,??? ??????? ???? ??? ??? ????? ?????? ??? ??????? ???? ??????? ???????? ?? ?? ????,Negative
474,???? ??? ????? ???? ???,Positive
475,???? ????? ???? ?????? ?? ????? ???? ???? ???? ?? ?????? ????? ???? ???? ?????? ???? ???? ??? ?????? ????? ????? ?? ???,Positive
476,???? ??????,Negative
477,???? ??? ?????,Negative
478,????? ???? ????? ?? ?????,Positive
479,???? ?? ?? ??? ??? ?? ???? ?? ??? ???? ????,Positive
480,??  ?????? ???? ???? ??????? ?????????? ?? ?????? ??? ??? ???????? ??????? ?? ?????,Positive
481,?? ?????? ??? ?????? ????,Positive
482,?? ????? ??? ???? ??????? ??? ?? ????? ???? ??? ?? ?????? ?? ????? ??? ??? ????? ???? ????? ??? ????? ???? ??? ???????? ??? ??? ???????,Positive
483,?? ???? ??? ?? ??? ????,Positive
484,?? ???? ?? ???? ?? ????? ????,Positive
485,?? ???? ?? ???? ??? ????????,Positive
486,?? ???? ?? ?????? ?? ????? ??????,Positive
487,?? ?????? ????? ??? ???? ???? ???? ???? ????? ???? ???? ????,Positive
488,?? ??? ???? ???? ????? ??? ??? ???????,Positive
489,?? ??? ???? ????? ????? ??????,Positive
490,?? ??? ???? ????? ??????,Positive
491,?? ??? ???? ????? ???? ?????? ???? ?? ?????? ??????,Positive
492,?? ?? ???? ??????? ???????,Positive
493,??? ??? ????? ??? ?? ????? ??? ??? ??? ???? ??? ?? ????,Negative
494,??? ??? ??? ??????,Positive
495,??? ???? ???? ????? ?? ????? ??? ????? ???? ?????,Positive
496,??? ????? ???? ????? ??????? ??? ???? ?? ???,Negative
497,??? ????? ??? ???? ??? ??? ?? ???? ???? ?????? ????? ????? ??? ?? ????? ??? ??? ???? ?? ???????? ?????? ??? ?? ????,Negative
498,??? ???? ??????? ?????? ???? ????,Positive
499,??? ??????? ??? ??? ??? ?????? ??? ???? ????,Negative
500,??? ??????,Negative
501,??? ???? ?? ????? ?? ?????? ??? ????? ???? ????,Positive
502,??? ??? ?? ????? ???????? ?????,Positive
503,??? ???? ????? ????? ????? ????? ?????? ?? ?????,Positive
504,??? ?????,Negative
505,"??? ?????? ????? ? ???? ?????? ?? ???? ?????? ?????? ? ? ????? ???? ???? ?????? ? ???? ?? ??? ?????? ",Negative
506,??? ???? ??? ???? ????? ????? ???? ????,Positive
507,??? ????? ????? ????,Negative
508,??? ????? ????? ?? ???? ??????? ????? ???,Positive
509,??? ???? ??? ???? ??????? ??? ??? ??? ??? ??? ?? ??????? ?? ?????? ?? ???? ?????? ???? ??? ?? ?? ??? ??????,Negative
510,??? ???? ????? ?? ??? ????? ??????? ?? ????,Negative
511,??? ?? ?????? ??????? ????? ?? ????? ?????? ??????? ????? ???? ????? ????? ? ?????? ??? ???? ?? ???? ?? ??? ??? ????? ?????? ???????? ???? ????? ??? ????????? ???????,Negative
512,??? ??? ??? ????? ???? ???? ?? ????,Negative
513,??? ??? ??? ??? ?????? ??? ?? ?? ???? ??? ?? ??? ????,Positive
514,??? ???? ???? ??? ????????? ???? ???? ?? ??? ?????? ??? ???? ???? ??? ????????,Positive
515,??? ???? ???? ????? ?????? ?? ????? ????? ?????? ????? ??? ????? ?? ???? ??? ????? ???,Positive
516,??? ???? ???? ??????? ?? ??? ?????? ??????,Positive
517,??? ?? ??? ???? ??? ??? ???? ??? ?? ???? ??? ????? ???? ????? ?? ?????? ???? ?? ?? ???? ?? ???????,Positive
518,??? ?? ???? ?? ???? ?????? ???? ???? ??? ?????? ?? ???? ?????? ??? ???? ???????,Positive
519,??? ????? ?????????? ???? ??????? ??? ????????? ??????,Negative
520,??? ??? ??? ???? ?????? ???? ???? ??????,Negative
521,??? ?? ???? ???? ???? ??????,Negative
522,??? ??? ???? ??? ??? ????? ??? ???? ???? ?????? ??? ??? ????,Negative
523,??? ?????? ??? ????? ???????? ????? ???? ????? ???? ???? ??? ?????? ????????,Negative
524,??? ?????? ?? ??? ?????? ??? ?????? ???????,Negative
525,??? ?? ????? ?? ???????? ??????? ?????? ????? ??? ????,Negative
526,??? ?? ???? ???? ????? ?????????,Negative
527,??? ??? ??? ??? ??????? ??? ????? ??? ?? ???? ?????,Positive
528,????? ?? ?? ????,Positive
529,??? ?? ????? ????? ?????? ????? ????? ???? ???? ?? ??? ??????,Negative
530,??? ?? ??? ?????? ????????? ?????????? ?????????? ?? ??? ???????? ???? ????? ???? ?? ??? ?? ??? ????? ???? ???? ????? ???????,Negative
531,??? ?? ??? ??? ????? ?? ???????? ????,Positive
532,??? ???? ????,Negative
533,??? ???? ???? ???? ??? ???? ???? ??? ??????,Negative
534,??? ???? ?? ????? ?? ??????,Negative
535,??? ?? ????? ??? ?? ???? ???? ????,Positive
536,????? ??? ?? ?? ?? ????? ???? ?? ?????? ???? ??? ?????? ?? ???? ???? ???? ???????,Negative
537,???? ?? ????? ?? ?????? ??????? ???? ??????? ??? ??? ????????? ????? ???? ????? ?????? ?? ????,Negative
538,???? ???? ??? ???? ????? ?????? ?? ?? ???????? ???? ?????????? ?? ?????? ??????? ???? ????? ??? ??? ????????,Positive
539,???? ?????? ???? ?????? ??????,Negative
540,???? ???? ??? ??? ?????? ?? ????? ?? ??,Negative
541,???? ???? ??? ?????,Negative
542,????? ??? ??? ???????,Negative
543,????? ????,Negative
544,????? ???? ???? ????? ????? ???? ????? ???? ?? ???? ????? ???,Positive
545,????? ???? ????? ???? ?????? ????,Positive
546,??????? ??? ???? ???? ???? ???? ??? ???? ????? ?????? ?? ????? ??? ?????? ????? ??? ?? ????? ??? ??? ?????,Negative
547,???? ???????? ???? ?????? ??? ?????,Positive
548,???? ???? ???? ????? ???????,Positive
549,???? ???? ?? ??? ??? ????,Negative
550,???? ???? ?? ????? ??????? ???? ?? ???? ?????,Negative
551,??? ??? ??? ???? ???? ???,Positive
552,??? ??? ???? ????? ???? ?????? ???? ??? ???????? ????? ???? ???? ???????? ???? ???? ???? ????,Positive
553,??? ???? ?? ????,Positive
554,?? ?? ?? ?????? ???? ?? ???? ??????? ???? ???????,Negative
555,?? ?? ??? ?????,Negative
556,?? ?????? ?????,Negative
557,??? ?????? ????? ?? ?????? ???? ????? ??? ????? ???,Negative
558,???? ?? ?? ??? ???? ???????,Positive
559,???? ??? ?? ??? ???? ???? ????? ?????? ?????? ??? ?????? ??? ????,Positive
560,???? ????? ????? ??????,Positive
561,???? ????? ?? ????? ?? ????,Positive
562,??? ??? ???? ?????,Positive
563,??? ?? ??????? ??????? ???????,Negative
564,???? ???? ?????? ????? ??? ????? ????? ????,Negative
565,???? ?? ????????,Negative
566,????? ???? ?????,Negative
567,???? ?????? ?????? ??? ?????,Negative
568,??? ???? ????? ????? ???? ????,Negative
569,?? ???? ???? ??? ?? ??????? ??????,Positive
570,?? ????? ??? ?? ???? ??? ????? ?????,Negative
571,?? ???? ?? ?????? ????? ??????? ???? ??????? ???? ??? ??????? ???? ????? ???? ??? ???? ??? ??????? ???????,Negative
572,?? ????? ????,Negative
573,??? ???? ?????,Negative
574,??? ????? ??????? ?????????? ????????? ??? ?? ???,Negative
575,??? ??????? ?????? ,Positive
576,??? ????? ??,Negative
577,??? ???? ???? ??????? ??????,Negative
578,???? ?????? ?????????? ???? ?? ?? ????? ?? ????? ????? ?????? ???? ??? ???? ???? ??? ???? ??? ?????? ??? ???? ???? ??? ?? ???? ??? ????????,Negative
579,???? ??? ???? ???? ?? ???? ?????? ?????,Positive
580,???? ???? ???? ??? ????? ????? ????? ???,Positive
581,???? ?????,Negative
582,???? ???? ?? ??? ??????,Positive
583,???? ???? ?? ??????,Positive
584,???? ???? ??? ??? ???? ?????? ????? ?????,Positive
585,???? ???? ??? ????? ?????? ?? ???????,Positive
586,???? ???? ???? ????? ?????? ???? ?????? ??? ???,Positive
587,????? ?????? ????? ?????? ????? ????? ???,Negative
588,????? ???? ??? ??????? ?? ????? ???? ????? ??,Negative
589,???????? ????? ??? ??????? ?? ?????? ??? ?????? ??? ??? ???????? ?? ??? ?????? ?? ???? ??????? ????? ??????? ?? ???? ????,Negative
590,????? ?? ???? ?? ????? ???????? ??? ?? ??????? ????? ???????? ?????? ??? ???????? ????? ??? ???? ????? ???? ?? ????,Negative
591,"????????? ??? ???? ??? ? ?? ????? ?????? ??? ???? ?? ?????? ?????",Positive
592,?????? ?? ???? ????? ?? ??? ?????? ???? ???? ,Negative
593,????? ???? ?? ????,Positive
594,????? ?? ?? ???? ???? ?????? ?? ??? ???? ???? ?????? ?????? ???? ?? ?? ????? ???????? ???? ??? ?? ?? ????,Positive
595,??? ???? ????? ?? ?????? ????? ?????,Positive
596,??? ????? ???? ???? ??? ??? ????? ???? ???? ????? ???? ?????? ?? ???? ?????,Positive
597,???? ??? ??? ??? ???? ?????? ??????,Positive
598,??? ??????? ???? ??? ???? ???????? ?? ???????? ?????? ???? ????? ?? ???? ???????? ???? ??? ????? ?? ??? ???? ?? ????? ?????,Negative
599,???? ?????? ????,Negative
600,??? ???? ???? ???? ????,Positive
601,????? ????? ???? ???? ?????,Negative
602,??? ???? ??? ?????? ?? ???? ???????,Positive
603,?????? ??????? ??? ??????? ????? ?????? ?? ?????? ??????? ??? 2022 ?????? ???? ?????????? ???? ???? ????? ???? ?? ?????? ???? ?????? ?????,Negative
604,?????? ????,Negative
605,?????? ???? ???,Negative
606,?????? ????,Negative
607,?????? ???? ???????? ??????:,Negative
608,?? ???? ????? ?????,Negative
609,?? ?????? ??????? ??? ?????,Negative
610,?? ???? ?? ??????? ?????? ?????? ?? ??? ????,Negative
611,?? ???? ?????? ???? ?? ?????? ??? ????? ???? ?? ???? ????? ???? ?????,Negative
612,?? ????,Negative
613,???? ??? ?????? ??? ??? ??? ?? ??? ??? ????? ???? ??????? ???????? ????? ?????? ???? ??????? ???? ??? ??? ??????,Negative
614,???? ??? ????,Positive
615,?????? ?????? ??? ???? ????? ????? ??? ???? ?????? ????? ??? ?? ?????? ?? ??? ? ???? ?????,Negative
616,????? ????? ????? ?????? ???? ???????,Positive
617,???? ???? ??? ?? ???? ?????? ?? ???? ???? ???? ??? ??? ???? ???? ???? ?? ?????,Positive
618,???? ?????? ?? ?????,Negative
619,??? ???? ??? ????? ????????? ??? ????? ????? ??? ????? ????? ??? ????? ????? ???????? ,Negative
620,??? ?? ??????? ???? ???? ???????? ??? ????,Positive
621,???? ?? ??? ???,Negative
622,????? ?????? ???? ??? ??? ?? ????? ????? ?????? ?????? ??? ?????? ??????? 100 ???,Negative
623,????? ??? ????? ??? ????? ????? ????????? ??????? ?? ??????? ?????? ?? ?????,Negative
624,???? ?? ?? ???,Negative
625,???? ?????? ?????? ????? ????? ?????? ?? ????? ???? ????,Negative
626,??? ???????? ?????? ????? ?? ?????? ??? ????? ?????? ????? ?? ??????? ?????,Positive
627,??? ???? ???? ??? ?????? ???????,Negative
628,???? ???? ?? ???? ???? ???? ????? ??? ????? ??????,Negative
629,???? ???,Negative
630,?????? ?? ??????,Negative
631,???? ????? ????? ???? ?????? ???? ???? ???? ????? ???? ???? ????,Negative
632,???? ???? ???? ?????? ?? ????? ????,Negative
633,??? ?? ??? ??? ??? ???? ???? ?????,Positive
634,??? ?????? ?????? ??????,Negative
635,?????? ?? ?? ??? ???? ????,Positive
636,??? ?????? ????? ????????,Negative
637,??? ???????? ?????? ??????? ??? ??? ?????? ????? ???? ???? ????? ????????????,Negative
638,????? ????? ? ???? ??????,Positive
639,?????? ???,Negative
640,?????? ?????? ????? ????,Negative
641,??? ???????,Negative
642,????? ??? ?????? ?? ????? ????? ???? ??????? ?????? ?????? ???? ????? ?? ??? ???????,Negative
643,????? ????? ???? ??? ????? ????????,Negative
644,?????? ???,Negative
645,???? ???? ????? ???? ????? ??? ?????? ??? ?????? ?????? ????? ????????  ???? ????????? ????? ????? ?? ??????,Positive
646,??? ???,Negative
647,????? ?????? ????? ?? ???? ????? ??? ????? ???????,Positive
648,????? ????? ??? ???? ????? ??? ?????? ?? ?????,Positive
649,???? ??????? ???? ?????? ??? ??? ?????? ?????? ??? ?????? ?????..???????? ??? ?100 ?????  ???????? ??? ???? ???? ???,Negative
650,???? ?????? ?? ??????,Negative
651,???? ???? ?????? ???????,Positive
652,???? ???? ????? ,Positive
653,???? ??? ??? ???? ??? ??? ???? ?????? ??? ???? ????? ?????? ??? ?? ??? ???????,Negative
654,????? ?? ????? ????? ???? ?????? ?????,Negative
655,???? ?? ??? ???? ???? ???? ???? ?? ??? ??? ???? ??? ?? ????? ????? ???? ???? ???? ?????,Positive
656,????? ????? ????? ?????? ?? ???? ????? ?????? ????? ???,Positive
657,????? ?? ?? ?? ??? ??? ???? ????? ???? ???,Positive
658,??? ??? ????? ????? ??????? ??? ??? ?? ????? ?????? ????? ???? ??? ??? ?????? ???? ??? ????? ?????,Negative
659,???? ??? ???????,Positive
660,???? ???????,Negative
661,???? ????? ?????? ?? ???,Negative
662,???? ??? ??????,Negative
663,????? ??????? ??? ??????? ???? ????? ??? ?? ????? ?????? ?????? ??? ?? ????? ????? ???? ?? ??????,Negative
664,???? ??? ??????,Negative
665,??????? ?????? ????? ?????? ????????,Positive
666,??? ???? ?? ???? ??? ?? ????? ???? ????? ??????,Negative
667,??? ?? ??? ?????,Negative
668,???? ????? ???? ???? ?????? ?? ???????,Negative
669,?????? ???? ?????? ??? ???? ?? ??????? ??? ????????,Negative
670,????????? ???????? ??? ??? ?????? ?? ???? ???,Negative
671,?? ????? ????? ??? ?? ???? ????? ??? ????? ??? ??? ??????? ???????,Negative
672,????? ????? ?? ?????? ????? ?? ??????,Positive
673,?????? ?? ????? ?????? ??? ????,Negative
674,????? ???? ?? ????,Positive
675,????? ???? ???,Negative
676,?????? ???? ????,Negative
677,??? ??????,Negative
678,???? ???? ?? ?????? ?????,Positive
679,?????? ?? ????,Negative
680,????? ???,Negative
681,???? ??????? ?????? ???? ???????,Negative
682,????? ?????? ???????????? ???????? ???? ?? 92.7% ?? ?????? ?????? ? 98.2% ?? ?????? ????? ?????? ???? ?????? ???,Positive
683,?? ??? ????,Negative
684,???? ???? ???? ?????? ????? ??? ?????? ?? ?????? ???? ???? ?? ??????,Positive
685,???? ???? ?? ??? ???? ??? ????? ????? ??,Positive
686,???? ???? ?? ??? ????? ???? ???? ????? ??? ???? ???? ???????,Positive
687,????? ??? ????? ???? ????? ?????? ?? ????? ?? ?????? ??? ????????? ???? ?? ????????,Negative
688,????? ??? ???? ?????,Negative
689,???? ?????? ?? ?????? ??? ??????? ??? ????? ?? ?????? ?????? ????? ????? ???? ??????? ???? ???? ?? ???,Positive
690,????? ?? ???? ??? ??? ?????,Positive
691,???? ???,Positive
692,????? ??????? ??????? ???? ????? ??? ???????,Positive
693,????? ??? ??? ??? ???? ???? ??? ???? ?????? ??,Positive
694,???? ???? ??????,Negative
695,???? ???? ??? ?? ?????,Negative
696,????? ????? ????? ??????? ?? ?????? ?????? ?? ????? ?? ????,Negative
697,????? ????? ?????,Negative
698,????? ??????? ???? ??????? ??? ??????? ??? ???? ???? ??????,Negative
699,??? ???????? ????? ???? ???? ???? ?????,Negative
700,??? ?? ?????? ?? ?????? ????,Negative
701,??? ???? ??? ????? ??????? ????? ????? ???????,Negative
702,????? ???? ????,Negative
703,????? ??? ????? ???????? ???? ????,Negative
704,???? ??????? ?? ?????,Negative
705,???? ???? ??? ???? ?? ???,Negative
706,???? ???? ???? ???? ?????,Negative
707,???? ???? ??????? ???? ????? ???? ???? ?? ????,Negative
708,???? ????? ???? ???? ?? ??????? ?????,Negative
709,??? ????? ????? ???,Negative
710,???? ??????? ???? ????? ???? ??? ????? ?????? ?????? ??? ?? ???? ????,Negative
711,???? ???? ?????,Negative
712,????? ???? ??? ???? ??????? ?????? ????????? ????? ???? ?????? ????? ???? ????? ??????,Negative
713,????? ???? ??? ?????? ?? ???? ???? ????? ?????,Negative
714,????? ???? ??? ?????? ???? ?? ???? ?????? ?????? ???? ?? ???? ????? ??????? ??? ??? ?????? ?? ????? ?????? ?? ????? ?????? ????? ?????? ????? ??????? ??????? ??? ????? ??? ???? ?? ???? ??????,Negative
715,???? ???? ????? ???? ??????? ??? ?? ?? ?????? ?????? ???? ?? ???????,Negative
716,???? ???? ??? ?????? ?? ?? ???? ????? ???? ???? ?????,Negative
717,???? ??? ????? ?????? ????,Negative
718,???? ?? ?????? ???????,Negative
719,"?? ?? ???? ????? ?????? ??? ?????? ? ??? ?????? ????? ??? ?????",Positive
720,??? ???? ????? ????? ????? ????,Positive
721,??? ???? ????? ?? ????????? ??????????,Negative
722,??? ??? ????? ??????? ?? ?????? ????? ??? ???????,Positive
723,??? ????? ????,Positive
724,"????? ????? ??????? ? ????? ?? ?????? ??? ????? ?????? ? ????? ????? ?????? ?????",Positive
725,????? ???? ???? ????? ?? ?? ???? ???,Positive
726,??? ????,Negative
727,???? ???? ????? ????? ????? ,Negative
728,???? ?? ???? ??? ????,Positive
729,??? ????? ???? ???? ??? ????? ???? ??? ??????? ?? ?????,Positive
730,??? ???? ????,Positive
731,??? ????? ?????,Positive
732,???...??? ?????? ??????? ??? 4????...??? ???? ???????? ??? ???? ?????? ?????,Negative
733,???? ??? ?????? ?? ????? ???? ????? ??? ??? ???????,Positive
734,???? ??? ?? ???? ?? ?? ???? ???? ?? ??? ????? ?? ???? ???? ?? ???? ?? ?????? ????? ?????? ???? ???? ???? ????? ????,Positive
735,???? ??? ????? ??? ????? ???? ?????,Negative
736,???? ???? ?? ?????,Positive
737,????? ???? ?? ???????? ??? ??????,Positive
738,????? ???? ???? ?????,Negative
739,"???? ????? ??? ?????? ???? ?????? ????? ???? ???? ??? ???? ?? ????? ?????? ? ???? ????? ???? ?????? ????? ???",Positive
740,??? ???? ???? ????? ???????? ?????? ??? ???? ????,Negative
741,??? ????,Negative
742,?? ???? ???? ????? ???? ????? ????? ??? ????,Positive
743,???? ??? ???? ???? ???? ?????? ???? ????? ?????,Negative
744,??? ????,Negative
745,????? ??? ???? :,Negative
746,???? ???? ??????? ??? ??????,Negative
747,??? ????? ?? ??? ??? ?????? ???? ?????? ??????? ???,Negative
748,????? ???? ??? ??? ?????? ???,Positive
749,??? ???????,Positive
750,???? ???? ??? ???? ???? ????? ?????? ??? ?????? ??????? ???? ??? ????? ???,Negative
751,??? ?????? ?? ?? ??,Positive
752,??? ???? ?? ?????? ????,Positive
753,??? ????? ???? ????? ????? ??? ??? ?? ??????? ?????? ??? ?????,Negative
754,????? ???? ?????? ??????? ?? ?????? ?? ?? ???? ???? ???? ?????,Positive
755,???? ???? ??????? ????? ???,Positive
756,???? ???? ???? ?? ???? ?????? ?? ??? ??,Positive
757,???? ???? ????? ????,Positive
758,?????? ??? ?? ??? ????? ???????? ?????? ????? ??? ???????,Positive
759,???? ???? ???? ????? ?? ???,Positive
760,???? ?????? ????? ???? ????? ???? ?? ?????,Positive
761,????? ???????,Negative
762,????? ??????? ?????? ???? ????,Negative
763,??? ????,Negative
764,?? ???? ????? ??????? ????? ????? ??????,Positive
765,?? ????? ????? ??????,Positive
766,???? ?????? ??? ????,Positive
767,?????? ?? ??????,Positive
768,?? ??? ???? ??????? ???? ???? ?? ??? ???? ???????,Positive
769,?? ????,Positive
770,??? ????? ???? ?? ??????? ?? ?????,Positive
771,??? ????? ???? ?? ????? ???????,Positive
772,"???? ???? ?????? ??????? ???? ??? ?? ???? ????? ?? ???? ??????? ?? ???? ?????? ??????? ???? ???? ??? ????? ???? ?????",Positive
773,???? ?????? ?? ???????? ????? ??? ????? ????????,Positive
774,???? ???? ???????,Positive
775,???? ???????? ??????? ??????,Positive
776,???? ?? ??? ?????? ??? ?? ??????,Positive
777,???? ????? ??? ???? ???? ?????? ???????? ?? ????? ??????,Positive
778,???? ??????? ?? ?????? ????,Positive
779,???? ???? ????? ?? ???????,Positive
780,???? ?????,Positive
781,???? ???? ??????? ?????????,Positive
782,???? ???? ?????? ?????????? ?? ????? ??? ????,Positive
783,???? ????,Positive
784,???? ??????,Positive
785,???? ???? ??????? ?? ?? ????? ????,Positive
786,???? ???? ????? ?????,Positive
787,???? ???? ??? ?? ???,Positive
788,???? ?????? ??? ?????,Positive
789,???? ?????? ????? ???,Positive
790,???? ???? ??????,Positive
791,???? ?????? ??? ??? ?????? ???? ?????? ???? ????? ?????? ???? ????? ?????? ??? ???? ???? ????? ?? ????? ??,Positive
792,???? ?????? ???????,Positive
793,???? ???? ?? ?????? ?? ?????,Positive
794,???? ????? ??? ???? ????? ?????????,Positive
795,???? ????? ?? ?????,Positive
796,???? ?????? ??? ????,Positive
797,???? ?????? ???? ???? ??? ???? ????????,Positive
798,???? ?????? ??????? ?? ???????? ????????? ??????,Positive
799,???? ???? ?????? ??? ??????,Positive
800,????????? ?????,Positive
801,????????? ?????? ????? ???? ???? ?????? ?????? ?????,Positive
802,??? ????? ????? ???? ????,Positive
803,??? ?????? ??? ?????? ? ???? ???? ? ??? ????? ? ???? ?????,Positive
804,??? ???? ?? ???? ? ???? ???? ?? ?????,Positive
805,??? ???? ?????? ???? ??? ?????? ?????,Negative
806,??? ???? ????? ????? ??????,Positive
807,??? ??????,Positive
808,???????? ?????? ???? ???????,Positive
809,?? ????? ???? ???? ???? ??? ???? ?? ???? ??? ??????,Negative
810,???? ???? ???? ????? ?????? ???? ????? .. ??? ??????? ???? ??????? ???? ???? ???? ?????? .... ???? ?? ???? ... ???? ?? ?????,Positive
